PRODUTO;CATEGORIA;DESCRIÇÃO;MARCA;CÓD. BARRAS;PREÇO;QUANTIDADE;FORNECEDOR
Sabonete;Cuidados com a Casa;Produto confiável para toda a família;BrilhoMais;8554375920782;38.77;474;Comercial Leste
Amaciante;Cuidados com a Casa;Rendimento garantido com qualidade superior;CasaZen;0205716486721;93.2;392;Distribuidora Sol
Sabonete;Higiene Pessoal;Produto confiável para toda a família;Higimax;4094508737357;22.49;183;Importadora Sul
Amaciante;Higiene Pessoal;Alta performance com fragrância suave;CasaZen;9142333081877;49.65;285;Distribuidora Sol
Desinfetante;Banheiro;Alta performance com fragrância suave;TopHig;1836010911524;66.01;144;Fornecedor Oeste
Shampoo;Cuidados com a Casa;Combina economia com excelente desempenho;BrilhoMais;8592401190620;100.95;110;Importadora Sul
Escova de Dente;Limpeza Doméstica;Tecnologia avançada para melhor limpeza;PuroCare;1665276749140;12.21;473;Atacado Norte
Condicionador;Limpeza Doméstica;Produto confiável para toda a família;BemLimpo;8125785545171;22.01;264;Fornecedor Oeste
Sabão em Pó;Banheiro;Testado dermatologicamente para uso seguro;Higimax;1302374160265;101.15;312;Distribuidora Sol
Sabonete;Higiene Pessoal;Produto confiável para toda a família;Limpax;9498953071438;112.3;199;Distribuidora Sol
Creme Dental;Limpeza Doméstica;Fórmula exclusiva com ação prolongada;Higimax;6428951891741;21.83;490;Comercial Leste
Desinfetante;Cozinha;Combina economia com excelente desempenho;PuroCare;9816448485555;103.88;500;Importadora Sul
Shampoo;Cuidados com a Casa;Ideal para uso diário e eficiente;Limpax;9738629971601;55.99;128;Importadora Sul
Sabão em Pó;Banheiro;Fórmula exclusiva com ação prolongada;CasaZen;3167445949942;92.23;145;Importadora Sul
Detergente;Limpeza Doméstica;Desenvolvido para cuidados essenciais;BemLimpo;0594075964723;71.79;64;Fornecedor Oeste
Desinfetante;Higiene Pessoal;Perfeito para manter sua casa limpa;TopHig;3401268936493;95.22;38;Distribuidora Sol
Creme Dental;Higiene Pessoal;Rendimento garantido com qualidade superior;TopHig;8398657712211;125.3;130;Atacado Norte
Papel Higiênico;Cozinha;Produto confiável para toda a família;TopHig;1087031225558;147.12;309;Distribuidora Sol
Amaciante;Banheiro;Fórmula exclusiva com ação prolongada;BemLimpo;4989054097401;89.21;495;Comercial Leste
Amaciante;Cozinha;Produto confiável para toda a família;Higimax;4156468930165;145.53;341;Atacado Norte
Sabonete;Cozinha;Testado dermatologicamente para uso seguro;Limpax;5755520309877;54.19;214;Atacado Norte
Amaciante;Cozinha;Rendimento garantido com qualidade superior;PuroCare;0765022349899;29.66;78;Fornecedor Oeste
Detergente;Cuidados com a Casa;Combina economia com excelente desempenho;BrilhoMais;2797618445921;51.24;252;Fornecedor Oeste
Shampoo;Banheiro;Produto confiável para toda a família;CasaZen;1438956294396;14.72;369;Importadora Sul
Shampoo;Cozinha;Produto confiável para toda a família;PuroCare;2838896279153;138.71;13;Importadora Sul
Detergente;Cozinha;Ideal para uso diário e eficiente;VitaLar;2021200456455;131.71;75;Fornecedor Oeste
Creme Dental;Limpeza Doméstica;Perfeito para manter sua casa limpa;BemLimpo;6767660418602;147.64;440;Comercial Leste
Papel Higiênico;Higiene Pessoal;Ideal para uso diário e eficiente;Limpax;0975449490558;136.18;96;Comercial Leste
Condicionador;Cuidados com a Casa;Ideal para uso diário e eficiente;PuroCare;1982520623541;23.37;466;Fornecedor Oeste
Sabão em Pó;Banheiro;Combina economia com excelente desempenho;CasaZen;4663619969031;111.37;68;Distribuidora Sol
Sabonete;Higiene Pessoal;Perfeito para manter sua casa limpa;CasaZen;9756019605425;55.31;134;Distribuidora Sol
Papel Higiênico;Banheiro;Perfeito para manter sua casa limpa;Higimax;4882719591518;63.13;160;Comercial Leste
Desinfetante;Limpeza Doméstica;Alta performance com fragrância suave;Higimax;8207001699640;114.64;357;Comercial Leste
